Image,Weed Pixels,Total Pixels,Weed %,Healthy %
DJI_DateTime_2024_06_04_09_18_0084_lat_10.3019440_lon_105.2717589_alt_20.237m.png,194062,1228800,15.79,84.21
DJI_DateTime_2024_06_04_09_18_0085_lat_10.3019921_lon_105.2717280_alt_20.196m.png,91259,1228800,7.43,92.57
DJI_DateTime_2024_06_04_09_18_0086_lat_10.3020406_lon_105.2716959_alt_20.221m.png,33965,1228800,2.76,97.24
DJI_DateTime_2024_06_04_09_18_0087_lat_10.3020864_lon_105.2716646_alt_20.189m.png,14159,1228800,1.15,98.85
DJI_DateTime_2024_06_04_09_19_0101_lat_10.3019920_lon_105.2718346_alt_20.207m.png,15872,1228800,1.29,98.71
DJI_DateTime_2024_06_04_09_19_0102_lat_10.3019443_lon_105.2718668_alt_20.218m.png,147736,1228800,12.02,87.98
DJI_DateTime_2024_06_04_09_19_0103_lat_10.3018964_lon_105.2718985_alt_20.239m.png,305736,1228800,24.88,75.12
DJI_DateTime_2024_06_04_09_19_0104_lat_10.3018489_lon_105.2719297_alt_20.235m.png,550660,1228800,44.81,55.19
DJI_DateTime_2024_06_04_09_20_0105_lat_10.3018006_lon_105.2719609_alt_20.239m.png,659178,1228800,53.64,46.36
DJI_DateTime_2024_06_04_09_20_0106_lat_10.3017528_lon_105.2719928_alt_20.256m.png,549069,1228800,44.68,55.32
DJI_DateTime_2024_06_04_09_20_0107_lat_10.3017051_lon_105.2720244_alt_20.191m.png,540258,1228800,43.97,56.03
DJI_DateTime_2024_06_04_09_20_0108_lat_10.3016570_lon_105.2720565_alt_20.205m.png,544125,1228800,44.28,55.72
DJI_DateTime_2024_06_04_09_20_0109_lat_10.3016096_lon_105.2720870_alt_20.218m.png,440509,1228800,35.85,64.15
DJI_DateTime_2024_06_04_09_20_0110_lat_10.3015620_lon_105.2721183_alt_20.219m.png,334688,1228800,27.24,72.76
DJI_DateTime_2024_06_04_09_20_0111_lat_10.3015142_lon_105.2721497_alt_20.208m.png,369664,1228800,30.08,69.92
DJI_DateTime_2024_06_04_09_20_0112_lat_10.3014667_lon_105.2721811_alt_20.208m.png,271756,1228800,22.12,77.88
DJI_DateTime_2024_06_04_09_20_0113_lat_10.3014194_lon_105.2722128_alt_20.218m.png,181818,1228800,14.8,85.2
DJI_DateTime_2024_06_04_09_20_0114_lat_10.3013718_lon_105.2722446_alt_20.179m.png,150835,1228800,12.27,87.73
DJI_DateTime_2024_06_04_09_20_0115_lat_10.3013236_lon_105.2722764_alt_20.223m.png,140821,1228800,11.46,88.54
DJI_DateTime_2024_06_04_09_20_0116_lat_10.3012759_lon_105.2723077_alt_20.189m.png,122199,1228800,9.94,90.06
DJI_DateTime_2024_06_04_09_20_0117_lat_10.3012285_lon_105.2723387_alt_20.171m.png,93907,1228800,7.64,92.36
DJI_DateTime_2024_06_04_09_20_0118_lat_10.3011802_lon_105.2723710_alt_20.195m.png,57360,1228800,4.67,95.33
DJI_DateTime_2024_06_04_09_20_0119_lat_10.3011328_lon_105.2724032_alt_20.255m.png,24821,1228800,2.02,97.98
DJI_DateTime_2024_06_04_09_20_0120_lat_10.3010847_lon_105.2724341_alt_20.181m.png,68017,1228800,5.54,94.46
DJI_DateTime_2024_06_04_09_20_0121_lat_10.3010368_lon_105.2724642_alt_20.195m.png,68920,1228800,5.61,94.39
DJI_DateTime_2024_06_04_09_21_0124_lat_10.3011147_lon_105.2725183_alt_20.104m.png,122345,1228800,9.96,90.04
DJI_DateTime_2024_06_04_09_21_0125_lat_10.3011630_lon_105.2724863_alt_20.206m.png,134083,1228800,10.91,89.09
DJI_DateTime_2024_06_04_09_21_0126_lat_10.3012115_lon_105.2724544_alt_20.201m.png,119104,1228800,9.69,90.31
DJI_DateTime_2024_06_04_09_21_0128_lat_10.3013080_lon_105.2723910_alt_20.174m.png,85046,1228800,6.92,93.08
DJI_DateTime_2024_06_04_09_21_0129_lat_10.3013543_lon_105.2723608_alt_20.182m.png,124523,1228800,10.13,89.87
DJI_DateTime_2024_06_04_09_21_0130_lat_10.3014020_lon_105.2723300_alt_20.194m.png,199740,1228800,16.25,83.75
DJI_DateTime_2024_06_04_09_21_0131_lat_10.3014497_lon_105.2722987_alt_20.214m.png,262653,1228800,21.37,78.63
DJI_DateTime_2024_06_04_09_21_0132_lat_10.3014971_lon_105.2722675_alt_20.168m.png,254700,1228800,20.73,79.27
DJI_DateTime_2024_06_04_09_21_0133_lat_10.3015453_lon_105.2722357_alt_20.198m.png,270154,1228800,21.99,78.01
DJI_DateTime_2024_06_04_09_21_0134_lat_10.3015931_lon_105.2722039_alt_20.204m.png,331038,1228800,26.94,73.06
DJI_DateTime_2024_06_04_09_21_0135_lat_10.3016416_lon_105.2721720_alt_20.207m.png,464363,1228800,37.79,62.21
DJI_DateTime_2024_06_04_09_21_0136_lat_10.3016887_lon_105.2721404_alt_20.130m.png,505095,1228800,41.1,58.9
DJI_DateTime_2024_06_04_09_21_0137_lat_10.3017362_lon_105.2721097_alt_20.134m.png,506557,1228800,41.22,58.78
